Rendszám	Vegyjel	Név	Atomtömeg	Sűrűség	Olvadáspont	Forráspont	Fajhő
1	H	hidrogén	1.007840	0.000090	14.175	20.28	14.304
2	He	hélium	4.002602	0.000179		4.22	5.193
3	Li	lítium	6.398000	0.534000	453.850	1615.00	3.582
4	Be	berillium	9.012183	1.850000	1560.150	2742.00	1.825
5	B	bór	10.806000	2.340000	2573.150	4200.00	1.026
6	C	szén	12.009600	2.267000	3948.150	4300.00	0.709
7	N	nitrogén	14.006430	0.001251	63.290	77.36	1.040
8	O	oxigén	15.999030	0.001429	50.500	90.20	0.918
9	F	fluor	18.998403	0.001696	53.630	85.03	0.824
10	Ne	neon	20.179700	0.000900	24.703	27.07	1.030
11	Na	nátrium	22.989769	0.971000	371.150	1156.00	1.228
12	Mg	magnézium	24.304000	1.738000	923.150	1363.00	1.023
13	Al	alumínium	26.981539	2.698000	933.400	2792.00	0.897
14	Si	szilícium	28.084000	2.329600	1683.150	3538.00	0.705
15	P	foszfor	30.973762	1.820000	317.250	553.00	0.769
16	S	kén	32.059000	2.067000	388.510	717.80	0.710
17	Cl	klór	35.446000	0.003214	172.310	239.11	0.479
18	Ar	argon	39.948000	0.001784	83.960	87.30	0.520
19	K	kálium	39.098300	0.862000	336.500	1032.00	0.757
20	Ca	kalcium	40.078000	1.540000	1112.150	1757.00	0.647
21	Sc	szkandium	44.955908	2.989000	1812.150	3109.00	0.568
22	Ti	titán	47.867000	4.540000	1933.150	3560.00	0.523
23	V	vanádium	50.941500	6.110000	2175.150	3680.00	0.489
24	Cr	króm	51.996100	7.150000	2130.150	2944.00	0.449
25	Mn	mangán	54.938044	7.440000	1519.150	2334.00	0.479
26	Fe	vas	55.845000	7.874000	1808.150	3134.00	0.449
27	Co	kobalt	58.933194	8.860000	1768.150	3200.00	0.421
28	Ni	nikkel	58.693400	8.912000	1726.150	3186.00	0.444
29	Cu	réz	63.546000	8.960000	1357.750	2835.00	0.385
30	Zn	cink	65.380000	7.134000	692.880	1180.00	0.388
31	Ga	gallium	69.723000	5.907000	302.910	2477.00	0.371
32	Ge	germánium	72.630000	5.323000	1211.450	3106.00	0.320
33	As	arzén	74.921595	5.776000	1090.150	887.00	0.329
34	Se	szelén	78.971000	4.809000	494.150	958.00	0.321
35	Br	bróm	79.901000	3.122000	266.050	332.00	0.474
36	Kr	kripton	83.798000	0.003733	115.930	119.93	0.248
37	Rb	rubídium	85.467800	1.532000	312.790	961.00	0.363
38	Sr	stroncium	87.620000	2.640000	1042.150	1655.00	0.301
39	Y	ittrium	88.905840	4.469000	1799.150	3609.00	0.298
40	Zr	cirkónium	91.224000	6.506000	2125.150	4682.00	0.278
41	Nb	nióbium	92.906370	8.570000	2741.150	5017.00	0.265
42	Mo	molibdén	95.950000	10.220000	2890.150	4912.00	0.251
43	Tc	technécium	98.906300	11.500000	2473.150	5150.00	
44	Ru	ruténium	101.070000	12.370000	2523.150	4423.00	0.238
45	Rh	ródium	102.905500	12.410000	2239.150	3968.00	0.243
46	Pd	palládium	106.420000	12.020000	1825.150	3236.00	0.244
47	Ag	ezüst	107.868200	10.501000	1234.150	2435.00	0.235
48	Cd	kadmium	112.414000	8.690000	594.330	1040.00	0.232
49	In	indium	114.818000	7.310000	429.910	2345.00	0.233
50	Sn	ón	118.710000	7.287000	505.210	2875.00	0.228
51	Sb	antimon	121.760000	6.685000	904.050	1860.00	0.207
52	Te	tellúr	127.600000	6.232000	722.800	1261.00	0.202
53	I	jód	126.904470	4.930000	386.650	457.40	0.214
54	Xe	xenon	131.293000	0.005887	161.450	165.03	0.158
55	Cs	cézium	132.905452	1.873000	301.700	944.00	0.242
56	Ba	bárium	137.327000	3.594000	1002.150	2170.00	0.204
57	La	lantán	138.905470	6.145000	1193.150	3737.00	0.195
58	Ce	cérium	140.116000	6.770000	1071.150	3716.00	0.192
59	Pr	prazeodímium	140.907660	6.773000	1204.150	3793.00	0.193
60	Nd	neodímium	144.242000	7.007000	1289.150	3347.00	0.190
61	Pm	prométium	146.915100	7.260000	1204.150	3273.00	
62	Sm	szamárium	150.360000	7.520000	1345.150	2067.00	0.197
63	Eu	európium	151.964000	5.243000	1095.150	1802.00	0.182
